"","Journal","Cites","ImpactFactor","Eigenfactor"
"79","PLANT AND CELL PHYSIOLOGY",14544,4.059,0.01896
"80","PLANT AND SOIL",30111,3.306,0.02556
"81","PLANT BIOLOGY",4353,2.156,0.00636
"82","PLANT BIOTECHNOLOGY JOURNAL",6544,6.305,0.01427
"83","PLANT BREEDING",3174,1.392,0.00301
"84","PLANT CELL",48393,8.228,0.06364
"85","PLANT CELL AND ENVIRONMENT",20478,5.415,0.02272
"86","PLANT CELL REPORTS",7385,2.989,0.00876
"87","PLANT CELL TISSUE AND ORGAN CULTURE",5491,2.004,0.00511
"88","PLANT DISEASE",13863,2.941,0.01179
"89","Plant Genome",1238,2.923,0.00303
"90","PLANT GROWTH REGULATION",4294,2.081,0.00332
"91","PLANT JOURNAL",39212,5.775,0.04557
"92","Plant Methods",2026,4.269,0.00447
"93","PLANT MOLECULAR BIOLOGY",13723,3.543,0.01051
"94","PLANT PATHOLOGY",5905,2.303,0.00626
"95","PLANT PHYSIOLOGY",75249,5.949,0.07102
"96","PLANT PHYSIOLOGY AND BIOCHEMISTRY",9745,2.718,0.01457
"97","Plant Reproduction",241,2.707,0.00101
"98","PLANT SCIENCE",12750,3.712,0.01446
"99","PLANT SOIL AND ENVIRONMENT",1746,1.421,0.00196
"100","PLANTA",17754,3.249,0.01362
"101","PLoS Genetics",42988,5.54,0.17104
"102","PLoS One",582877,2.766,1.86235
"103","POSTHARVEST BIOLOGY AND TECHNOLOGY",9642,3.112,0.00929
"104","Protein & Cell",2363,6.228,0.00806
"105","Rice",1270,3.039,0.00335
"106","SCANDINAVIAN JOURNAL OF FOREST RESEARCH",2539,1.6,0.00239
"107","SCIENCE",645132,41.058,1.12716
"108","Scientific Reports",192841,4.122,0.71896
"109","THEORETICAL AND APPLIED GENETICS",19565,3.93,0.01588
"110","TRANSGENIC RESEARCH",2733,2.197,0.00336
"111","Tree Genetics & Genomes",2306,1.829,0.00485
"112","TREE PHYSIOLOGY",9476,3.389,0.00839
"113","Tree-Ring Research",506,1.136,5e-04
"114","TREES-STRUCTURE AND FUNCTION",4407,1.782,0.00576
"115","TRENDS IN PLANT SCIENCE",18864,12.149,0.02577
"116","Turkish Journal of Agriculture and Forestry",1405,1.434,0.00179
"117","URBAN FORESTRY & URBAN GREENING",3193,2.782,0.00477
"118","WEED RESEARCH",2821,1.766,0.00205
"119","WEED SCIENCE",5270,2.044,0.00382
"120","WEED TECHNOLOGY",3288,1.246,0.00233
"121","Horticulture Research",426,3.368,0.00134
