Node1	Node2	Score
DDX58	DHX58	0.964
HTR1B	GNG2	0.989
RPLP1	RPL30	0.999
COX5B	NDUFA4	0.977
NDUFB5	NDUFB6	0.999
HUWE1	UBA52	0.996
RPS25	RPL30	0.999
NRIP1	PPARA	0.969
PFDN4	PFDN5	0.999
RPL26L1	RPS16	0.999
RRAGD	LAMTOR5	0.999
IFI27	IRF9	0.957
RPL29	RPL38	0.999
MX1	ISG20	0.976
STAT1	IFIT1	0.992
RPS20	RPLP1	0.999
SEC61B	UBA52	0.996
RPL23A	RPS28	0.999
TRIM45	HLA-B	0.953
ACO1	ACLY	0.958
PFKFB2	PFKFB3	0.968
NDUFB5	NDUFC2	0.999
NDUFA1	NDUFA11	0.994
PRMT5	SNRPD1	0.985
COX7C	UQCRH	0.976
CXCL10	CXCL8	0.987
COMMD3	COMMD1	0.991
IFI6	IFI27	0.975
RPS19	RPS8	0.999
SRP14	RPL32	0.996
RPL23	RPL22L1	0.993
ALDH1L2	SHMT2	0.969
RPS16	RPL11	0.999
NDUFB2	NDUFB9	0.998
FAU	RPL23A	0.999
EIF3A	RPS24	0.986
RPL23	RPL12	0.999
RPL24	RPL38	0.999
SNAP25	CPLX1	0.998
RPL24	UBA52	0.999
NDUFB11	NDUFA11	0.998
RPS15A	RPL39L	0.993
IFI35	ISG20	0.972
SNRPD1	SNRPE	0.999
ADM2	RAMP2	0.976
RPS12	RPL9	0.999
RPS13	FAU	0.999
RPS11	RPL37	0.999
RPS20	RPL27A	0.999
RPS20	RPL22L1	0.996
NDUFB2	NDUFB11	0.988
RPL11	UBA52	0.999
RPS20	RPS21	0.999
RPL24	FAU	0.999
HMGN3	SLC6A9	0.979
NDUFA9	NDUFS4	0.999
RPS24	RPL38	0.999
NR1H3	NCOR2	0.987
RPL31	RPS26	0.999
UQCRQ	UQCR10	0.999
RPL39L	RPL38	0.998
PSMA4	RBX1	0.966
RPLP1	RPL29	0.999
RPL26L1	RPL23A	0.998
RPL24	RPS24	0.999
IFI35	OAS2	0.989
RPS12	RPS27L	0.999
RPL26L1	RPL30	0.999
SRC	ITGB3	0.97
RPS8	UBA52	0.999
MRPS34	MRPS21	0.988
RPS12	RPL39	0.999
STAT1	HERC5	0.976
ATP5PD	ATP5ME	0.999
RPS8	RPS28	0.999
NDUFB9	NDUFA4	0.965
HGS	UBA52	0.98
UNC93B1	TLR3	0.99
RPS15A	RPS27A	0.999
MX2	IFIT1	0.994
RPLP2	RPS18	0.999
RPL9	RPS9	0.999
TNIP3	TNFAIP3	0.971
OAS2	IFIT1	0.995
NDUFC1	UQCR11	0.976
RPL34	RPS27L	0.998
NDUFB3	UQCRB	0.973
NDUFB11	NDUFB9	0.998
MRPL13	MRPL20	0.998
RPL36	RPS9	0.999
ENY2	MCM3AP	0.978
RPS8	RPL37	0.999
RPL36	RPL30	0.999
RPS13	RPS8	0.999
RPS16	RPL37A	0.999
RPLP1	RPS27L	0.997
HSD17B12	HACD1	0.971
RPL30	RPS28	0.999
RPS13	RPL38	0.999
RPL19	RPL36AL	0.999
FAU	RPS9	0.999
STAT1	IL12A	0.951
ATP5PF	COX6C	0.958
RPS13	RPS28	0.999
RPL37	UBA52	0.999
BMP4	NOG	0.996
NDUFS4	UQCRH	0.985
TPT1	RPL30	0.971
SEC61G	RPL12	0.998
LSM6	SNRPE	0.999
RPL27	RPS14	0.999
NDUFB3	NDUFA12	0.999
MRPL22	MRPS14	0.984
NDUFB10	UQCR10	0.974
RPL31	RPL23A	0.999
NDUFB10	NDUFS6	0.999
RPL37	RPL38	0.999
UQCR11	COX6C	0.984
TNFAIP3	TNF	0.987
PTPN11	SIRPA	0.988
RPL31	RPL38	0.999
UBE2L6	UBA7	0.992
RPS21	RPL23A	0.999
PBK	UBE2C	0.959
RPS11	RPLP2	0.999
ATP5F1E	UQCRQ	0.974
RPS11	RPS29	0.999
SMG6	SMG8	0.986
AGO2	MOV10	0.978
STAT1	PTPN11	0.986
SEC61B	RPS27L	0.986
NDUFB5	NDUFB9	0.999
SH2D2A	PIK3R1	0.95
SEC61B	RPL9	0.996
MX2	IFITM2	0.95
HDAC9	NCOR2	0.966
NDUFB11	NDUFS4	0.999
RPL27	RPL11	0.999
COMMD3	COMMD6	0.998
RPL26L1	RPL21	0.999
NDUFB2	NDUFB6	0.999
RPS15	RPL23	0.999
TNFAIP3	UBA52	0.995
RPS26	RPS18	0.999
EIF3A	RPS25	0.988
STAT2	IFIT1	0.971
RPL21	RPL36	0.999
NDUFS6	NDUFB9	0.999
HDAC9	EP300	0.966
RPS14	RPL23A	0.999
RPLP1	RPL38	0.999
TRAF1	TNF	0.981
SRP14	RPS18	0.996
LTV1	RPS8	0.998
RPL39L	UBA52	0.995
RPS25	RPL23A	0.999
GBP2	IRF7	0.965
RPL11	RPL27A	0.999
RPS8	RPL30	0.999
RPL36	RPLP2	0.999
NDUFS6	UQCRQ	0.994
MRPL41	MRPS21	0.978
RPL30	RPS9	0.999
RPS19	RPL11	0.999
RPS25	UBA52	0.999
MRPL34	MRPL57	0.989
MX1	JAK1	0.955
RPS15A	FAU	0.999
GBP4	IRF7	0.955
TPT1	RPS15A	0.953
SNRPD2	SNRPG	0.999
MRPS14	FAU	0.967
PSMB9	PSMB3	0.999
CXCL8	CCL4L2	0.976
RPL26L1	RPS8	0.999
JAK1	IRF9	0.975
SAMHD1	MX1	0.951
IFI35	OASL	0.986
CWC15	SNRPD1	0.996
RPL30	RPS26	0.999
RPL21	RPS15A	0.999
RPL29	RPL12	0.999
RPS20	RPS25	0.999
RPS15A	SRP14	0.996
NDUFB2	NDUFA3	0.997
RPL27	RPL30	0.999
RPL27A	RPL37A	0.999
RPL23A	RPS29	0.999
COX5B	NDUFA6	0.958
RPL36	RPL27	0.999
RPL32	RPS18	0.999
SF3B6	SF3B5	0.999
SEC61G	RPL9	0.996
RBX1	RPS27A	0.951
RPS16	RPL39L	0.996
POLR3GL	POLR2L	0.957
IFI35	IFI6	0.989
RPS15	RPL32	0.999
RPS24	RPS27L	0.999
EIF3A	RPS26	0.992
RPS20	FAU	0.999
RPS12	RPS9	0.999
RPL34	RPL32	0.999
CHCHD1	MRPL57	0.991
RPS27A	RPL39	0.999
NDUFA1	NDUFA6	0.999
EP300	AR	0.98
ATP5PF	ATP5MC1	0.998
NDUFC2	NDUFA12	0.999
EP300	VEGFA	0.973
IFITM3	IFIT1	0.963
RPL11	RPL36AL	0.998
RPL21	RPS27A	0.999
DDX58	OASL	0.964
HERC5	MX1	0.993
ATP5MC1	ATP5PO	0.996
OASL	ISG20	0.983
RPS19	EIF3C	0.989
NDUFB3	UQCR11	0.971
NDUFB7	NDUFB5	0.999
EXOSC5	PNPT1	0.966
RPL27A	RPS27L	0.999
RPL13A	RPL39	0.999
ATP5F1E	ATP5PF	0.999
RPL21	RPS9	0.999
RPL21	RPL30	0.999
RSAD2	GBP2	0.95
RPS15	SEC61G	0.998
CHCHD1	MRPL20	0.99
RPS16	RPL39	0.999
SEC61B	SEC61G	0.999
TRAPPC10	TRAPPC4	0.99
EP300	IRF7	0.953
SEC61B	RPL35	0.983
RPS20	SRP14	0.99
NDUFB9	NDUFS5	0.999
SEC61B	RPS28	0.996
RPL9	RPL23A	0.999
NDUFB2	NDUFA12	0.997
RPS21	RPS27L	0.999
MRPL27	MRPL36	0.999
PSME2	PSMB8	0.981
CTH	TXNRD1	0.951
RPL27	RPS29	0.999
TIMP1	SERPINE1	0.974
NDUFA9	NDUFB6	0.999
RPL21	RPLP2	0.999
COX6C	ATP5MD	0.966
NDUFA3	NDUFA12	0.998
RPS27L	RPS18	0.997
EIF3A	RPS15A	0.988
RPS13	RPS25	0.999
RPS20	RPS9	0.999
COX7A2	UQCRQ	0.984
SNRPD2	PPIH	0.997
RPL34	RPL12	0.999
NDUFA2	NDUFB5	0.999
RPS8	RPL39	0.999
RPS12	RPL23	0.999
HDAC9	KAT2A	0.963
RPS8	RPS9	0.999
ATP5ME	ATP5MF	0.998
RPS24	RPS11	0.999
OASL	IRF7	0.996
NDUFB2	NDUFC2	0.996
RPS20	RPS24	0.999
RPS11	RPL37A	0.999
CBL	EPHA2	0.966
RPL13A	RPS8	0.999
RPL38	RPS28	0.999
HERC6	UBE2L6	0.995
RPL31	SRP14	0.985
RPL24	SEC61G	0.997
RPS26	RPS28	0.999
NDUFS6	NDUFA11	0.999
RPL23	UBA52	0.999
RPS26	RPL39	0.999
RIPK3	MLKL	0.989
MRPL16	MRPL20	0.996
EP300	KAT2A	0.99
RPS24	RPL32	0.999
RPL13A	RPS29	0.999
MRPL54	MRPL23	0.967
RPL21	UBA52	0.999
MCUB	MICU3	0.984
MRPS34	MRPL24	0.983
ITPKB	IPMK	0.963
NDUFC1	NDUFB1	0.999
RPL21	RPS11	0.999
NDUFA2	NDUFS4	0.999
SEC61G	RPS24	0.984
SEC61B	RPL30	0.996
ATP5PF	NDUFS4	0.955
NDUFB9	NDUFA12	0.999
RPL36AL	UBA52	0.997
CFH	CFI	0.999
SNRPD2	LSM10	0.96
NDUFS6	NDUFAF6	0.953
MRPL36	RPS18	0.965
MRPS14	MRPL13	0.997
MRPL22	MRPL41	0.998
RPS13	RPL36	0.999
MRPL40	MRPL20	0.986
KAT2A	ENY2	0.973
RPL11	RPLP2	0.999
RPL24	SRP14	0.997
ELOB	ANAPC11	0.962
RPS16	EIF3C	0.982
PSMA4	NEDD8	0.957
PDGFB	VEGFA	0.988
NDUFA2	NDUFB6	0.999
LSM7	SF3B5	0.998
NDUFAB1	NDUFS6	0.999
RPL31	RPS16	0.999
ETHE1	SQOR	0.98
MRPS14	MRPL17	0.998
BST2	IRF7	0.971
NDUFB6	NDUFA4	0.981
NDUFB10	NDUFC2	0.999
RPS12	RPL11	0.999
GATA3	FOS	0.966
MTHFD2	ALDH1L2	0.965
RPS15A	LTV1	0.996
NDUFA11	NDUFA12	0.999
RPL13A	RPS18	0.999
RPL36	RPS27A	0.999
NDUFAB1	UQCRQ	0.989
RPS12	RPS24	0.999
RPS12	RPL35	0.999
RPS14	RPS18	0.999
SEC61G	RPL36AL	0.993
MX1	IRF7	0.995
COMMD4	COMMD6	0.994
MRPL27	MRPL16	0.998
OASL	MX2	0.997
NDUFB6	NDUFA11	0.999
RPS13	RPS9	0.999
PNPT1	EXOSC1	0.963
RPL29	RPL39L	0.997
CD79B	LYN	0.976
OAS1	GBP1	0.972
RPS26	RPL37A	0.999
OAS1	IFIT3	0.992
RPLP2	RPL23A	0.999
RPS27A	RPL30	0.999
RPS15	MRPL17	0.959
ATP5MF	ATP5PO	0.999
RPLP1	RPLP2	0.999
RPS13	TPT1	0.95
DDX58	UBE2L6	0.991
RPLP1	RPS24	0.999
MRPS14	MRPL36	0.998
NDUFC1	NDUFA9	0.987
TNFSF13B	TNF	0.982
PSMA3	PSMG2	0.96
RPS20	RPL9	0.999
